time,sample,area,experiment
0,control_00,380292.360,control
1,control_00,337352.278,control
2,control_00,366888.935,control
3,control_00,386530.917,control
4,control_00,407176.403,control
5,control_00,374018.715,control
0,control_01,373871.348,control
1,control_01,326222.523,control
2,control_01,345352.227,control
3,control_01,368194.190,control
4,control_01,371029.260,control
5,control_01,365359.120,control
0,control_02,373106.440,control
1,control_02,317766.435,control
2,control_02,300678.823,control
3,control_02,337443.505,control
4,control_02,352018.852,control
5,control_02,396488.750,control
0,control_03,341569.795,control
1,control_03,259703.640,control
2,control_03,274405.302,control
3,control_03,309064.735,control
4,control_03,316706.792,control
5,control_03,311668.227,control
0,control_04,337078.595,control
1,control_04,246798.457,control
2,control_04,264335.190,control
3,control_04,318138.362,control
4,control_04,314819.085,control
5,control_04,294875.350,control
0,test_00_00,364292.460,test_00
1,test_00_00,258643.997,test_00
2,test_00_00,282096.482,test_00
3,test_00_00,274033.375,test_00
4,test_00_00,299941.985,test_00
5,test_00_00,299198.130,test_00
0,test_00_01,333640.020,test_00
1,test_00_01,247268.630,test_00
2,test_00_01,222672.293,test_00
3,test_00_01,255907.173,test_00
4,test_00_01,281457.890,test_00
5,test_00_01,316068.200,test_00
0,test_00_02,328811.980,test_00
1,test_00_02,277352.653,test_00
2,test_00_02,243823.038,test_00
3,test_00_02,270657.958,test_00
4,test_00_02,278524.575,test_00
5,test_00_02,282678.935,test_00
0,test_00_03,323801.485,test_00
1,test_00_03,251970.355,test_00
2,test_00_03,216131.983,test_00
3,test_00_03,255752.788,test_00
4,test_00_03,265057.992,test_00
5,test_00_03,281738.590,test_00
0,test_00_04,395141.390,test_00
1,test_00_04,275963.188,test_00
2,test_00_04,218882.842,test_00
3,test_00_04,241612.525,test_00
4,test_00_04,247479.155,test_00
5,test_00_04,266180.792,test_00
0,test_00_05,390109.843,test_00
1,test_00_05,233437.138,test_00
2,test_00_05,238237.108,test_00
3,test_00_05,219788.100,test_00
4,test_00_05,224735.438,test_00
5,test_00_05,221184.582,test_00
